comarca,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Segarra,2,287,137,53,55,37,2,12,1,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Segrià,757,793,609,132,132,256,28,46,7,3,4,6,3,7,3,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0
Selva,0,303,225,72,88,118,11,8,3,11,9,5,1,4,0,0,0,2,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Solsonès,1,110,51,25,18,10,3,13,2,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarragonès,0,994,147,72,76,99,6,7,4,3,2,14,3,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Terra Alta,109,251,143,21,100,102,19,3,2,6,16,2,9,1,1,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urgell,2,365,227,74,70,71,2,3,2,0,0,1,2,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Val d'Aran,2,36,60,14,19,14,2,18,14,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallès Occidental,2,784,839,153,561,272,39,17,8,10,8,18,6,5,2,6,0,1,0,1,15,13,6,5,1,1,0,0,1,6,1,2,0,0,6,7,0,0,1,2,1,0,0
Vallès Oriental,1,608,178,80,263,165,6,3,6,0,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0
